size, customer, years_trading, years_customer, turn_over, bop, credit_rating, employees, corporate_family, country, 	market, period, abc, ly_spend, budget_spend, curr_period_fc, last_period, curr_period_ly, weather_fc, make_budget_lp, make_budget_ply, make_budget, probability
S,4486,12,4,121571,77, c,1,n,finland,flat,10,c,96042,8004,6403,7044,7844,l-snow,y,y,0,1.0
VS,4487,7,4,52911,10, cc,1,n,uk,flat,10,b,30689,2558,2046,1944,2404,l-rain,y,n,0,1.0
S,4488,13,5,140756,60, b,1,n,finland,pitched,10,a,132311,11026,8821,9042,9924,l-snow,y,y,0,1.0
VS,4489,13,2,55130,90, b,1,n,norway,flat,10,b,30322,2527,1264,1971,2098,rain,y,y,0,1.0
S,4490,7,5,179530,36, c,1,n,uk,pitched,10,c,102333,8528,6823,6737,8102,l-rain,n,y,0,1.0
VS,4491,12,11,59476,35, ddd,1,n,sweden,pitched,10,b,32118,2677,2677,1901,2195,fine,y,y,0,0.9999999
S,4492,13,9,154370,53, c,1,n,sweden,flat,10,c,137390,11450,11450,8587,8015,fine,y,y,0,0.99999976
VS,4493,4,2,95772,86, c,1,n,finland,pitched,10,b,59379,4949,3959,4256,3613,l-snow,y,y,0,1.0
S,4494,20,2,123156,10, cc,1,n,norway,pitched,10,c,107146,8929,4465,8304,6697,rain,y,y,0,1.0
VS,4495,13,2,80828,85, ccc,1,n,denmark,pitched,10,b,74362,6197,4958,6011,4338,l-snow,n,n,0,0.99996257
S,4496,20,16,206899,60, c,2,n,denmark,flat,10,c,157244,13104,10483,11139,9042,l-snow,y,n,0,1.0
VS,4497,19,17,56255,37, cc,1,n,norway,flat,10,c,54568,4548,2274,3684,3957,rain,n,n,0,1.0
S,4498,19,16,237041,100, c,2,n,sweden,flat,10,b,213337,17779,17779,14401,12978,fine,y,n,1,1.0
VS,4499,20,6,61412,16, d,1,n,finland,flat,10,c,48516,4043,3235,3922,3801,l-snow,n,n,1,1.0
S,4500,11,1,181232,93, b,1,n,finland,flat,10,c,135924,11327,9062,10761,8043,l-snow,y,y,0,1.0
VS,4501,16,5,50005,75, d,1,n,uk,flat,10,b,47505,3959,3167,2574,2851,l-rain,n,y,0,1.0
S,4502,12,7,146670,40, ddd,1,n,uk,flat,10,b,115870,9656,7725,6760,6180,l-rain,y,y,0,1.0
VS,4503,12,12,79886,53, c,1,n,finland,flat,10,c,43938,3662,2930,2490,3223,l-snow,y,n,0,1.0
S,4504,13,10,211636,89, cc,2,n,denmark,pitched,10,b,201055,16755,13404,12231,16587,l-snow,n,n,0,1.0
VS,4505,14,13,93371,68, ccc,1,n,denmark,pitched,10,c,75631,6303,5043,4727,5925,l-snow,n,n,0,1.0
S,4506,11,0,151334,6, dd,1,n,finland,flat,10,c,87774,7315,5852,5633,6584,l-snow,y,y,0,1.0
VS,4507,9,1,77225,12, cc,1,n,finland,flat,10,c,40930,3411,2729,2456,2422,l-snow,y,y,0,1.0
S,4508,7,5,203989,34, d,2,n,denmark,flat,10,a,165232,13770,11016,11980,8262,l-snow,n,n,0,1.0
VS,4509,14,7,52659,11, b,1,n,sweden,flat,10,a,35809,2985,2985,2746,1970,fine,n,y,1,1.0
S,4510,7,4,126060,42, ddd,1,n,uk,flat,10,b,66812,5568,4455,4733,4065,l-rain,y,y,0,1.0
VS,4511,18,13,89075,16, c,1,n,norway,flat,10,b,80168,6681,3341,6681,5345,rain,y,y,0,1.0
S,4512,12,4,233264,48, ddd,2,n,sweden,pitched,10,a,207605,17301,17301,11073,15571,fine,y,n,0,1.0
VS,4513,12,2,93189,82, dd,1,n,norway,pitched,10,c,56846,4738,2369,4690,3506,rain,y,y,0,1.0
S,4514,16,5,136289,14, b,1,n,denmark,pitched,10,b,79048,6588,5270,5073,3953,l-snow,y,n,0,1.0
VS,4515,2,2,78304,41, d,1,n,uk,flat,10,c,43851,3655,2924,2595,3655,l-rain,y,n,0,1.0
S,4516,19,17,249572,36, b,2,n,denmark,flat,10,b,162222,13519,10815,8247,10275,l-snow,y,n,0,1.0
VS,4517,20,7,64452,92, dd,1,n,denmark,flat,10,c,38672,3223,2579,2256,3030,l-snow,y,y,0,1.0
S,4518,19,1,193235,42, d,1,n,finland,pitched,10,b,173912,14493,11595,9711,12319,l-snow,y,y,0,1.0
VS,4519,14,3,61293,12, b,1,n,uk,pitched,10,c,48422,4036,3229,2986,2422,l-rain,n,y,0,1.0
S,4520,5,3,222249,34, b,2,n,finland,flat,10,a,113347,9446,7557,8690,8502,l-snow,n,y,1,1.0
VS,4521,10,5,62333,54, b,1,n,finland,pitched,10,b,44880,3740,2992,2581,2544,l-snow,n,n,0,1.0
S,4522,6,1,191402,49, dd,1,n,denmark,flat,10,b,172262,14356,11485,13781,12059,l-snow,y,y,1,1.0
VS,4523,20,7,89730,69, c,1,n,norway,flat,10,b,58325,4861,2431,4278,3208,rain,y,y,0,1.0
S,4524,18,12,246474,95, ccc,2,n,finland,flat,10,a,170068,14173,11338,10913,12330,l-snow,y,y,0,1.0
VS,4525,18,5,92844,56, b,1,n,finland,pitched,10,c,64991,5416,4333,3304,4550,l-snow,n,n,0,1.0
S,4526,19,12,102505,10, ccc,1,n,norway,pitched,10,a,70729,5895,2948,3950,4244,rain,y,y,0,1.0
VS,4527,10,4,69397,39, c,1,n,denmark,flat,10,c,45109,3760,3008,2933,3534,l-snow,y,y,0,1.0
S,4528,17,1,133684,9, c,1,n,norway,pitched,10,c,120316,10027,5014,8523,6317,rain,n,y,0,1.0
VS,4529,17,9,81310,46, d,1,n,denmark,flat,10,c,48786,4066,3253,3781,2602,l-snow,y,n,0,1.0
S,4530,13,1,177919,67, b,1,n,uk,flat,10,a,88960,7414,5931,5042,4893,l-rain,y,n,0,1.0
VS,4531,5,4,59356,53, dd,1,n,uk,pitched,10,c,32053,2672,2137,2404,1630,l-rain,n,y,0,1.0
S,4532,12,0,139954,71, cc,1,n,finland,flat,10,c,121760,10147,8118,9741,8930,l-snow,n,n,1,1.0
VS,4533,20,4,56888,86, ccc,1,n,sweden,pitched,10,c,34133,2845,2845,2816,1736,fine,y,n,1,1.0
S,4534,15,11,104499,25, d,1,n,norway,pitched,10,b,58520,4877,2439,3707,4633,rain,n,y,0,1.0
VS,4535,15,14,79987,52, b,1,n,denmark,flat,10,b,67989,5666,4533,4193,4533,l-snow,y,y,0,1.0
S,4536,11,11,108937,88, b,1,n,denmark,flat,10,a,72988,6083,4866,5110,5596,l-snow,n,n,0,1.0
VS,4537,11,8,71389,31, c,1,n,norway,flat,10,c,35695,2975,1488,2737,2440,rain,n,y,0,1.0
S,4538,20,3,142195,13, d,1,n,finland,pitched,10,c,110913,9243,7395,7025,7210,l-snow,n,n,0,1.0
VS,4539,5,4,84494,6, cc,1,n,norway,pitched,10,b,47317,3944,1972,3865,3431,rain,y,n,0,1.0
S,4540,7,7,209339,97, d,2,n,norway,flat,10,c,129791,10816,5408,8653,7572,rain,n,n,0,1.0
VS,4541,20,4,85755,96, cc,1,n,uk,flat,10,b,83183,6932,5546,5823,4298,l-rain,y,n,0,1.0
S,4542,7,7,227174,17, ccc,2,n,denmark,pitched,10,b,115859,9655,7724,7531,6759,l-snow,y,y,0,1.0
VS,4543,4,1,77700,69, d,1,n,norway,flat,10,a,61383,5116,2558,3377,3735,rain,y,y,0,1.0
S,4544,9,8,155958,12, ddd,1,n,finland,pitched,10,c,98254,8188,6551,5978,5486,l-snow,n,y,0,1.0
VS,4545,11,10,96971,61, cc,1,n,norway,flat,10,c,67880,5657,2829,3734,4300,rain,y,n,0,1.0
S,4546,20,2,228007,20, d,2,n,sweden,pitched,10,c,150485,12541,12541,8653,9406,fine,n,y,1,1.0
VS,4547,15,15,52450,70, ccc,1,n,norway,pitched,10,a,45632,3803,1902,2510,2434,rain,n,n,0,1.0
S,4548,16,2,101613,90, c,1,n,norway,flat,10,c,56904,4742,2371,4648,4553,rain,n,y,0,1.0
VS,4549,10,3,52318,22, d,1,n,finland,pitched,10,b,39762,3314,2651,2320,3215,l-snow,y,n,0,1.0
S,4550,10,0,107575,38, d,1,n,uk,pitched,10,c,101121,8427,6742,5815,5394,l-rain,y,n,0,1.0
VS,4551,15,10,85452,98, cc,1,n,uk,flat,10,a,74344,6196,4957,5762,3965,l-rain,y,y,1,0.8363207
S,4552,15,10,116178,53, cc,1,n,sweden,pitched,10,c,79002,6584,6584,5926,6584,fine,n,y,1,1.0
VS,4553,18,15,56617,10, d,1,n,uk,pitched,10,a,42463,3539,2831,3504,2442,l-rain,n,y,0,0.51816523
S,4554,14,8,150863,54, c,1,n,denmark,pitched,10,a,92027,7669,6136,5139,5292,l-snow,y,n,0,1.0
VS,4555,19,2,80098,7, b,1,n,denmark,flat,10,c,69686,5808,4646,5633,5633,l-snow,y,y,1,1.0
S,4556,18,6,181154,12, cc,1,n,sweden,flat,10,c,126808,10568,10568,7926,8560,fine,n,y,0,1.0
VS,4557,18,12,85094,99, d,1,n,sweden,pitched,10,c,55312,4610,4610,4518,4011,fine,n,y,1,1.0
S,4558,18,13,115529,45, dd,1,n,uk,flat,10,c,57765,4814,3851,2937,4718,l-rain,y,y,0,1.0
VS,4559,16,10,98124,43, cc,1,n,denmark,pitched,10,c,56912,4743,3795,4553,4032,l-snow,y,y,0,1.0
S,4560,18,10,247541,88, d,2,n,denmark,flat,10,b,173279,14440,11552,11264,11841,l-snow,y,n,0,1.0
VS,4561,12,10,60379,26, b,1,n,denmark,pitched,10,a,43473,3623,2899,2536,3080,l-snow,n,n,0,1.0
S,4562,13,9,213676,20, dd,2,n,uk,flat,10,c,136753,11397,9117,7864,9231,l-rain,y,n,0,1.0
VS,4563,19,19,63984,91, dd,1,n,norway,pitched,10,c,56306,4693,2347,2910,4177,rain,y,y,0,1.0
S,4564,7,2,210429,45, ccc,2,n,denmark,pitched,10,c,168344,14029,11223,12346,11364,l-snow,y,y,0,1.0
VS,4565,4,1,94786,94, c,1,n,finland,pitched,10,b,74881,6241,4993,4681,3745,l-snow,y,y,0,1.0
S,4566,14,4,155200,65, ddd,1,n,uk,pitched,10,a,141232,11770,9416,8945,11181,l-rain,y,y,0,1.0
VS,4567,20,4,52892,18, b,1,n,denmark,flat,10,b,40727,3394,2716,2173,2478,l-snow,y,n,0,1.0
S,4568,8,5,229382,99, c,2,n,finland,pitched,10,b,178918,14910,11928,10139,14612,l-snow,n,n,0,1.0
VS,4569,8,6,91023,36, dd,1,n,uk,flat,10,c,54614,4552,3641,4506,4051,l-rain,y,y,0,1.0
S,4570,15,15,182216,32, cc,1,n,norway,flat,10,a,123907,10326,5163,6712,9810,rain,y,y,0,1.0
VS,4571,2,0,83345,65, c,1,n,sweden,pitched,10,c,81679,6807,6807,5718,6126,fine,n,y,1,0.99999917
S,4572,9,4,154642,91, ccc,1,n,finland,flat,10,c,85054,7088,5671,6309,7088,l-snow,n,y,0,1.0
VS,4573,3,2,65540,66, ddd,1,n,finland,pitched,10,b,60953,5080,4064,5029,3861,l-snow,n,n,0,0.9967871
S,4574,12,2,173856,13, ddd,1,n,norway,flat,10,b,151255,12605,6303,12605,7689,rain,y,y,0,1.0
VS,4575,14,1,82611,80, cc,1,n,denmark,flat,10,c,54524,4544,3635,3863,3635,l-snow,y,y,0,1.0
S,4576,10,6,213702,23, d,2,n,norway,pitched,10,b,132496,11042,5521,9606,9496,rain,n,y,0,1.0
VS,4577,18,3,84003,38, ccc,1,n,finland,pitched,10,c,66363,5531,4425,4812,3319,l-snow,n,y,0,1.0
S,4578,13,13,213565,6, ddd,2,n,finland,pitched,10,b,147360,12280,9824,9702,12035,l-snow,y,n,0,1.0
VS,4579,17,3,97085,96, dd,1,n,denmark,flat,10,c,88348,7363,5890,7363,5522,l-snow,y,y,1,1.0
S,4580,8,2,142323,12, ccc,1,n,sweden,pitched,10,c,135207,11268,11268,6986,7437,fine,y,y,0,1.0
VS,4581,20,2,66676,6, cc,1,n,uk,flat,10,c,44673,3723,2979,2904,3649,l-rain,y,y,0,1.0
S,4582,5,0,245399,35, cc,2,n,denmark,flat,10,c,127608,10634,8508,9677,8401,l-snow,y,y,0,0.9999845
VS,4583,11,7,87270,69, d,1,n,denmark,flat,10,c,61089,5091,4073,4786,4073,l-snow,y,y,0,1.0
S,4584,15,14,180790,91, d,1,n,norway,pitched,10,a,106667,8889,4445,8445,8178,rain,y,y,0,1.0
VS,4585,4,2,67061,53, cc,1,n,finland,pitched,10,c,33531,2795,2236,2152,2711,l-snow,y,y,0,1.0
S,4586,6,3,184549,35, ddd,1,n,denmark,pitched,10,c,151331,12611,10089,9333,8828,l-snow,y,n,0,1.0
VS,4587,2,2,70377,27, b,1,n,uk,flat,10,b,49264,4106,3285,3572,3079,l-rain,n,y,0,1.0
S,4588,20,6,238684,66, cc,2,n,finland,flat,10,c,231524,19294,15435,15050,18908,l-snow,y,y,0,1.0
VS,4589,14,7,71472,93, cc,1,n,uk,pitched,10,c,67184,5599,4479,4143,3696,l-rain,n,y,0,1.0
S,4590,12,11,200010,14, d,2,n,sweden,flat,10,c,122007,10168,10168,9456,9049,fine,y,n,1,1.0
VS,4591,20,17,93833,38, cc,1,n,denmark,flat,10,a,87265,7273,5818,7200,7054,l-snow,n,y,1,0.9919253
S,4592,11,3,197243,50, ccc,1,n,uk,flat,10,b,128208,10684,8548,8120,8227,l-rain,y,y,0,1.0
VS,4593,4,0,96620,73, ccc,1,n,sweden,flat,10,b,76330,6361,6361,5852,4580,fine,n,y,1,1.0
S,4594,13,13,137814,75, cc,1,n,finland,pitched,10,c,85445,7121,5697,6694,4985,l-snow,y,y,0,1.0
VS,4595,12,5,74138,79, dd,1,n,denmark,pitched,10,b,71914,5993,4795,4435,5154,l-snow,n,y,0,1.0
S,4596,6,1,151056,98, d,1,n,norway,pitched,10,c,120845,10071,5036,10071,7150,rain,y,y,0,1.0
VS,4597,11,0,78112,38, ddd,1,n,sweden,pitched,10,b,48430,4036,4036,2866,3269,fine,y,y,0,0.989388
S,4598,19,10,118625,17, ddd,1,n,sweden,pitched,10,c,99645,8304,8304,6893,7806,fine,y,n,1,1.0
VS,4599,7,1,87987,48, b,1,n,denmark,flat,10,c,49273,4107,3285,2875,3080,l-snow,n,y,0,1.0
S,4600,19,11,106269,81, d,1,n,finland,pitched,10,a,72263,6022,4818,4938,5661,l-snow,n,n,0,1.0
VS,4601,6,3,75504,5, d,1,n,finland,pitched,10,c,68709,5726,4581,4066,5268,l-snow,y,y,0,1.0
S,4602,10,5,151151,41, b,1,n,sweden,flat,10,b,125456,10455,10455,7737,9201,fine,n,n,0,0.9926959
VS,4603,7,3,88134,84, ccc,1,n,finland,flat,10,b,86372,7198,5759,4823,6838,l-snow,y,n,0,1.0
S,4604,10,5,111300,23, ddd,1,n,norway,pitched,10,c,107961,8997,4499,6298,7018,rain,n,y,0,1.0
VS,4605,12,8,78541,77, ddd,1,n,sweden,pitched,10,c,39271,3273,3273,2226,2979,fine,y,n,1,0.99999726
S,4606,16,8,126533,58, c,1,n,denmark,flat,10,a,80982,6749,5399,6344,6142,l-snow,n,y,1,1.0
VS,4607,16,11,79312,63, d,1,n,sweden,pitched,10,a,44415,3702,3702,2924,2702,fine,n,y,0,1.0
S,4608,13,13,208206,47, c,2,n,finland,pitched,10,a,104103,8676,6941,6507,6333,l-snow,y,y,0,1.0
VS,4609,2,0,55680,78, ddd,1,n,finland,pitched,10,a,34522,2877,2302,2705,1899,l-snow,y,n,0,1.0
S,4610,20,13,135308,45, dd,1,n,norway,pitched,10,c,86598,7217,3609,4547,4330,rain,y,n,0,1.0
VS,4611,7,2,61348,14, cc,1,n,finland,pitched,10,b,47238,3937,3150,3347,2717,l-snow,y,n,0,1.0
S,4612,15,15,248516,56, cc,2,n,uk,flat,10,a,188873,15740,12592,12277,13222,l-rain,y,n,0,1.0
VS,4613,5,0,70426,57, cc,1,n,denmark,pitched,10,a,64088,5341,4273,3579,4914,l-snow,y,y,0,1.0
S,4614,14,10,171347,77, cc,1,n,finland,flat,10,c,149072,12423,9939,9442,11057,l-snow,y,y,0,1.0
VS,4615,5,3,62756,84, d,1,n,norway,pitched,10,b,57108,4759,2380,3808,3665,rain,y,n,0,1.0
S,4616,11,8,206914,44, b,2,n,finland,pitched,10,c,171739,14312,11450,9875,14312,l-snow,y,y,0,1.0
VS,4617,20,20,87217,41, d,1,n,uk,pitched,10,c,74135,6178,4943,5561,4819,l-rain,n,n,0,0.99995005
S,4618,14,2,122876,25, b,1,n,denmark,pitched,10,a,63896,5325,4260,3994,4154,l-snow,n,y,0,1.0
VS,4619,14,12,55114,86, ccc,1,n,uk,flat,10,b,29762,2481,1985,1910,1885,l-rain,n,n,0,1.0
S,4620,10,2,102987,57, ddd,1,n,norway,flat,10,b,81360,6780,3390,4746,5357,rain,y,n,0,1.0
VS,4621,3,0,54921,58, dd,1,n,uk,flat,10,b,44487,3708,2966,3374,3708,l-rain,y,n,1,0.65999436
S,4622,17,14,166106,70, ddd,1,n,norway,pitched,10,b,117936,9828,4914,8944,6978,rain,y,y,0,1.0
VS,4623,4,0,65955,51, ccc,1,n,norway,flat,10,c,51445,4288,2144,4288,4288,rain,y,y,0,1.0
S,4624,17,14,218116,90, ddd,2,n,uk,pitched,10,b,154863,12906,10325,8905,9292,l-rain,n,y,0,1.0
VS,4625,20,12,99911,18, ddd,1,n,finland,pitched,10,c,69938,5829,4663,4838,5537,l-snow,n,y,0,1.0
S,4626,11,0,186136,57, dd,1,n,uk,flat,10,c,96791,8066,6453,7098,7340,l-rain,n,y,0,0.9982596
VS,4627,10,6,96940,51, dd,1,n,sweden,pitched,10,a,95002,7917,7917,7917,5780,fine,y,n,1,1.0
S,4628,13,9,116992,28, dd,1,n,denmark,flat,10,b,69026,5753,4602,3509,4947,l-snow,y,n,0,1.0
VS,4629,8,2,63535,52, d,1,n,uk,pitched,10,c,37486,3124,2500,2375,2968,l-rain,y,y,0,1.0
S,4630,18,2,151097,52, b,1,n,uk,flat,10,b,104257,8689,6951,5995,7212,l-rain,y,y,0,1.0
VS,4631,12,5,91009,96, ddd,1,n,denmark,flat,10,b,87369,7281,5825,6189,6116,l-snow,y,y,0,1.0
S,4632,12,1,233976,46, dd,2,n,sweden,flat,10,c,201220,16769,16769,12577,10229,fine,n,y,0,0.99999964
VS,4633,5,4,63413,24, c,1,n,finland,flat,10,a,40585,3383,2706,2875,3180,l-snow,y,n,0,1.0
S,4634,19,14,239307,20, b,2,n,uk,pitched,10,c,205805,17151,13721,16293,12520,l-rain,n,y,1,1.0
VS,4635,11,6,68114,17, ddd,1,n,sweden,pitched,10,b,44956,3747,3747,2923,2848,fine,n,y,1,1.0
S,4636,17,8,139787,77, cc,1,n,norway,flat,10,c,89464,7456,3728,5741,6338,rain,y,y,0,1.0
VS,4637,12,11,66333,57, cc,1,n,uk,flat,10,b,35820,2985,2388,2060,1971,l-rain,y,y,0,1.0
S,4638,7,4,213855,47, cc,2,n,finland,pitched,10,c,186054,15505,12404,12559,12714,l-snow,y,y,0,1.0
VS,4639,1,1,91296,6, cc,1,n,sweden,flat,10,c,75776,6315,6315,4863,5431,fine,n,n,1,0.9999995
S,4640,6,3,189027,50, b,1,n,uk,pitched,10,c,132319,11027,8822,7058,7940,l-rain,n,y,0,1.0
VS,4641,6,4,80415,93, c,1,n,sweden,flat,10,b,67549,5630,5630,4785,3603,fine,n,y,1,1.0
S,4642,9,3,101820,95, cc,1,n,norway,pitched,10,c,64147,5346,2673,3635,3315,rain,y,y,0,1.0
VS,4643,3,0,52675,80, dd,1,n,sweden,flat,10,c,27391,2283,2283,1941,1964,fine,y,n,1,1.0
S,4644,14,10,134916,74, dd,1,n,denmark,flat,10,c,83648,6971,5577,4671,6762,l-snow,n,n,0,1.0
VS,4645,18,17,74412,31, d,1,n,denmark,pitched,10,c,72180,6015,4812,5354,5534,l-snow,y,y,0,1.0
S,4646,8,2,241891,41, d,2,n,denmark,pitched,10,c,203189,16933,13546,12530,13377,l-snow,y,n,0,1.0
VS,4647,10,9,98249,66, b,1,n,finland,pitched,10,a,82530,6878,5502,4265,4883,l-snow,n,n,0,1.0
S,4648,9,6,199327,12, ccc,1,n,denmark,flat,10,b,181388,15116,12093,11035,14965,l-snow,n,y,0,1.0
VS,4649,1,1,51811,50, d,1,n,sweden,flat,10,b,32123,2677,2677,1714,2142,fine,y,y,0,1.0
S,4650,14,2,164341,48, b,1,n,norway,pitched,10,c,88745,7396,3698,5843,4807,rain,y,n,0,1.0
VS,4651,11,8,80063,100, ddd,1,n,finland,pitched,10,b,68054,5672,4537,5501,3573,l-snow,y,y,1,1.0
S,4652,6,1,157832,86, dd,1,n,norway,flat,10,a,108905,9076,4538,5536,7442,rain,y,y,0,1.0
VS,4653,4,4,78471,88, b,1,n,sweden,flat,10,b,72194,6017,6017,4392,4392,fine,n,n,0,1.0
S,4654,19,10,224276,97, ddd,2,n,norway,pitched,10,c,116624,9719,4860,7192,8650,rain,n,y,0,1.0
VS,4655,17,14,97663,83, d,1,n,uk,pitched,10,b,83014,6918,5535,6711,4290,l-rain,n,n,1,1.0
S,4656,14,9,145476,86, ccc,1,n,uk,flat,10,b,138203,11517,9214,7026,7832,l-rain,y,y,0,1.0
VS,4657,4,4,82117,32, ccc,1,n,uk,flat,10,c,79654,6638,5311,5775,4249,l-rain,n,y,0,1.0
S,4658,20,10,200834,52, b,2,n,norway,pitched,10,c,188784,15732,7866,10698,14631,rain,n,y,0,1.0
VS,4659,15,7,91208,84, dd,1,n,sweden,flat,10,a,76615,6385,6385,5044,5044,fine,y,n,1,1.0
S,4660,20,1,153589,49, cc,1,n,denmark,pitched,10,c,76795,6400,5120,5568,4032,l-snow,y,n,0,1.0
VS,4661,6,1,99881,57, b,1,n,sweden,flat,10,b,85898,7159,7159,6729,4940,fine,y,y,1,1.0
S,4662,8,6,229916,13, c,2,n,uk,flat,10,c,197728,16478,13182,10546,12194,l-rain,y,y,0,1.0
VS,4663,5,5,91960,70, d,1,n,denmark,pitched,10,c,55176,4598,3679,4415,2897,l-snow,n,y,0,1.0
S,4664,17,0,249908,31, dd,2,n,finland,pitched,10,b,157443,13121,10497,10628,9053,l-snow,n,y,0,1.0
VS,4665,9,0,98924,30, ddd,1,n,norway,pitched,10,c,58366,4864,2432,4816,3259,rain,n,y,0,1.0
S,4666,17,6,140781,45, c,1,n,finland,flat,10,c,106994,8917,7133,5707,5439,l-snow,y,n,0,1.0
VS,4667,4,1,81880,58, dd,1,n,uk,flat,10,c,80243,6687,5350,5283,5350,l-rain,y,n,0,1.0
S,4668,13,9,106909,46, ddd,1,n,sweden,pitched,10,a,69491,5791,5791,4517,5154,fine,y,y,1,1.0
VS,4669,18,1,86573,13, cc,1,n,denmark,flat,10,c,55407,4618,3694,2771,4202,l-snow,n,n,0,1.0
S,4670,5,3,178169,69, cc,1,n,finland,pitched,10,c,96212,8018,6415,6976,8018,l-snow,n,y,0,1.0
VS,4671,19,18,60713,40, ddd,1,n,uk,pitched,10,b,55249,4605,3684,3177,4282,l-rain,y,y,0,1.0
S,4672,18,1,154931,17, ddd,1,n,norway,pitched,10,a,139438,11620,5810,9064,9645,rain,y,y,0,1.0
VS,4673,11,11,87853,83, c,1,n,sweden,pitched,10,c,75554,6297,6297,4849,4156,fine,y,y,1,0.9994844
S,4674,13,1,150506,16, d,1,n,denmark,flat,10,a,109870,9156,7325,5586,6593,l-snow,n,y,0,1.0
VS,4675,12,8,52518,26, ddd,1,n,denmark,pitched,10,a,40965,3414,2731,2492,3073,l-snow,y,n,0,1.0
S,4676,13,1,176955,73, dd,1,n,finland,pitched,10,c,138025,11503,9202,9547,9432,l-snow,n,n,0,1.0
VS,4677,9,0,86360,65, ddd,1,n,sweden,flat,10,b,43180,3599,3599,3419,3203,fine,n,y,1,1.0
S,4678,7,4,142479,46, b,1,n,uk,flat,10,c,119683,9974,7979,6683,8279,l-rain,y,y,0,1.0
VS,4679,14,12,87166,44, d,1,n,finland,pitched,10,c,75835,6320,5056,5941,5056,l-snow,y,n,1,0.99999845
S,4680,18,11,171663,7, ccc,1,n,finland,pitched,10,c,169947,14163,11330,13455,12746,l-snow,y,y,0,1.0
VS,4681,11,6,66944,15, ddd,1,n,denmark,flat,10,b,63597,5300,4240,3710,4558,l-snow,y,n,0,1.0
S,4682,17,17,212005,90, d,2,n,sweden,pitched,10,c,146284,12191,12191,11459,8656,fine,n,n,1,1.0
VS,4683,1,0,78032,34, b,1,n,sweden,pitched,10,a,46039,3837,3837,2801,2418,fine,y,y,0,1.0
S,4684,12,0,115742,100, dd,1,n,sweden,flat,10,c,81020,6752,6752,6685,4592,fine,y,n,1,1.0
VS,4685,9,6,74141,25, c,1,n,sweden,flat,10,a,63020,5252,5252,4780,5042,fine,y,n,1,1.0
S,4686,16,11,164511,21, ddd,1,n,denmark,flat,10,b,144770,12065,9652,9893,7722,l-snow,n,y,0,1.0
VS,4687,14,14,72572,36, dd,1,n,uk,pitched,10,c,37738,3145,2516,2170,2894,l-rain,y,n,0,1.0
S,4688,8,5,244872,67, b,2,n,norway,flat,10,c,237526,19794,9897,11877,18805,rain,y,n,0,1.0
VS,4689,11,7,96872,29, cc,1,n,uk,pitched,10,b,92998,7750,6200,6820,6278,l-rain,y,n,0,1.0
S,4690,11,1,175642,8, b,1,n,finland,flat,10,b,94847,7904,6324,7272,7114,l-snow,n,y,0,1.0
VS,4691,8,4,54921,83, d,1,n,sweden,flat,10,a,46134,3845,3845,3153,2499,fine,n,y,1,1.0
S,4692,20,10,108460,91, c,1,n,sweden,flat,10,c,67246,5604,5604,4427,4203,fine,y,y,1,1.0
VS,4693,12,9,78164,99, ddd,1,n,sweden,pitched,10,c,39864,3322,3322,3156,2060,fine,n,n,1,1.0
S,4694,12,8,186588,65, c,1,n,finland,pitched,10,c,97026,8086,6469,5741,6954,l-snow,y,n,0,1.0
VS,4695,4,1,58444,100, b,1,n,uk,flat,10,b,54353,4530,3624,3760,4213,l-rain,y,y,0,1.0
S,4696,17,10,124681,19, c,1,n,sweden,pitched,10,c,66081,5507,5507,5397,3635,fine,n,n,1,1.0
VS,4697,12,3,80069,45, c,1,n,uk,pitched,10,c,40035,3337,2669,2936,3237,l-rain,y,y,0,0.568573
S,4698,7,6,224102,59, ddd,2,n,denmark,pitched,10,b,168077,14007,11206,11346,10925,l-snow,n,n,0,1.0
VS,4699,13,6,62734,28, c,1,n,finland,flat,10,a,61480,5124,4099,3689,3843,l-snow,y,y,0,1.0
S,4700,14,12,183862,27, ccc,1,n,uk,flat,10,a,112156,9347,7478,6263,6543,l-rain,n,y,0,1.0
VS,4701,2,2,72335,57, c,1,n,denmark,pitched,10,a,47018,3919,3135,3762,2586,l-snow,y,y,1,0.99999785
S,4702,17,5,249293,91, ddd,2,n,norway,pitched,10,c,176999,14750,7375,10620,11210,rain,y,y,0,1.0
VS,4703,10,8,98467,39, d,1,n,norway,flat,10,b,61050,5088,2544,4732,3206,rain,n,y,0,1.0
S,4704,5,1,150495,55, cc,1,n,denmark,pitched,10,c,127921,10661,8529,7036,9488,l-snow,y,y,0,1.0
VS,4705,5,0,63157,8, c,1,n,uk,flat,10,c,45474,3790,3032,2426,2653,l-rain,y,y,0,1.0
S,4706,8,0,140719,15, dd,1,n,finland,flat,10,b,70360,5864,4691,3694,3518,l-snow,y,y,0,1.0
VS,4707,20,2,60464,37, b,1,n,sweden,pitched,10,b,36884,3074,3074,2675,2828,fine,y,y,1,1.0
S,4708,15,4,134436,19, b,1,n,uk,pitched,10,b,133092,11091,8873,8208,9982,l-rain,n,n,0,1.0
VS,4709,19,10,72500,32, d,1,n,uk,pitched,10,c,50025,4169,3335,3877,3252,l-rain,y,y,0,1.0
S,4710,7,5,236261,24, ccc,2,n,finland,pitched,10,b,118131,9845,7876,8663,5907,l-snow,y,y,0,1.0
